"Time (s)","Sound pressure level (dB)"
2.108234038E1,5.909336841E1
2.119136921E1,6.381401315E1
2.129902313E1,5.767248184E1
2.140803717E1,6.107354349E1
2.151559167E1,6.403357500E1
2.162431571E1,6.414204253E1
2.173236558E1,6.191969255E1
2.184136758E1,6.295178004E1
2.194896996E1,6.105773297E1
2.205804571E1,6.252070451E1
2.216567379E1,6.043944181E1
2.227467617E1,5.379094233E1
2.238228463E1,4.978736258E1
2.249136000E1,4.968392631E1
2.259894167E1,4.851074916E1
2.270804888E1,4.912295199E1
2.281561154E1,6.394749373E1
2.292471417E1,6.495231128E1
2.303226650E1,6.123809590E1
2.314133962E1,6.604327184E1
2.324890296E1,6.305515108E1
2.335803379E1,6.202009020E1
2.346558887E1,6.133953380E1
2.357467842E1,5.577466762E1
2.368228658E1,6.566404276E1
2.379142708E1,6.198304718E1
2.389886929E1,6.401430585E1
2.400807688E1,6.253168162E1
2.411554742E1,6.418095441E1
2.422468642E1,5.926286796E1
2.433221125E1,6.186132834E1
2.444126721E1,6.151418139E1
2.454891467E1,6.517210497E1
2.465808717E1,6.061912249E1
2.476554854E1,5.740495490E1
2.487467979E1,5.363918873E1
2.498218462E1,5.901112080E1
2.509139850E1,6.168077407E1
2.519876296E1,6.009717313E1
2.530805442E1,5.889196473E1
2.541549117E1,6.002412940E1
2.552459700E1,6.213541663E1
2.563216096E1,6.055409774E1
2.574134121E1,6.112041302E1
2.584886521E1,6.085150371E1
2.595801917E1,6.121796572E1
2.606548700E1,6.238487474E1
2.617468333E1,6.252125754E1
2.628213100E1,6.201075360E1
2.639137300E1,5.833708611E1
2.649877725E1,6.817641829E1
2.660801000E1,7.214214230E1
2.671546746E1,6.873622527E1
2.682467458E1,6.534406984E1
2.693200038E1,6.414249384E1
2.704048967E1,6.059823157E1
2.714873704E1,6.560373291E1
2.725790792E1,6.235056050E1
2.736541900E1,7.404302078E1
2.747428737E1,7.503373176E1
2.758208679E1,6.619899172E1
2.769106083E1,6.154454478E1
2.779873108E1,6.266851855E1
2.790803800E1,6.186311237E1
2.801535492E1,6.227263913E1
2.812466900E1,6.232496215E1
2.823198138E1,6.291065553E1
2.834136700E1,6.410715600E1
2.844867621E1,6.567414016E1
2.855801725E1,6.523194441E1
2.866536854E1,6.738733687E1
2.877458296E1,6.227963603E1
2.888198525E1,6.110372675E1
2.899131725E1,6.249759401E1
2.909870338E1,6.297386325E1
2.920807971E1,6.606826871E1
2.931531958E1,6.624075761E1
2.942466629E1,6.363895650E1
2.953189725E1,5.719223027E1
2.964138767E1,5.321140205E1
2.974867938E1,5.439073963E1
2.985804808E1,6.677781619E1
2.996533983E1,6.715799077E1
3.007467625E1,6.967397127E1
3.018194675E1,7.010256853E1
3.029137579E1,6.965901810E1
3.039861521E1,6.215539391E1
3.050808525E1,6.176706362E1
3.061742717E1,6.400966201E1
3.072458242E1,6.772230288E1
3.083181408E1,6.442297559E1
3.094135004E1,6.253641110E1
3.104847254E1,6.613696574E1
3.115064504E1,5.996420954E1
3.125802992E1,5.559969443E1
3.136523067E1,5.607985293E1
3.147464154E1,6.331947562E1
3.158186804E1,6.147603710E1
3.168969617E1,5.595412026E1
3.179852142E1,6.594074206E1
3.190417954E1,6.790183942E1
3.200748554E1,6.596022434E1
3.211521908E1,6.310476258E1
3.221756508E1,6.211143615E1
3.232456379E1,6.439472938E1
3.243187246E1,6.597780624E1
3.254123667E1,6.615065085E1
3.264847079E1,6.694816084E1
3.275802779E1,6.573213188E1
3.286518592E1,6.580039136E1
3.297470950E1,6.708938381E1
3.308182492E1,6.575786863E1
3.319085458E1,6.964993607E1
3.329846496E1,6.815656484E1
3.340544163E1,6.707530629E1
3.351513150E1,6.637097785E1
3.361987913E1,6.508752896E1
3.372424413E1,6.474584559E1
3.383428563E1,6.674900002E1
3.394114879E1,6.609025970E1
3.404840417E1,6.514083942E1
3.415801821E1,5.567583487E1
3.426502283E1,5.652221423E1
3.437461450E1,6.394759282E1
3.448180012E1,6.589296321E1
3.459138133E1,6.406730153E1
3.469842146E1,6.529434434E1
3.480766996E1,6.373048910E1
3.491505650E1,6.615568034E1
3.502210396E1,5.541391894E1
